sample_index,host_elapsed_s,pulse_fpga_time_s,group_id,pulse_id,valid,invalid_reason,baseline_pre_v,baseline_post_v,baseline_for_area_v,threshold_v,pulse_duration_s,pulse_height_v,peak_height_v,pulse_area_v_us,correction_active_v,effective_high_v,live_target_area_v_us,live_area_error_v_us,live_p_term_v_us,live_i_term_v_us,live_d_term_v_us,live_pid_latency_cycles
539,53.90149248600028,7118.823336744,53898352,0,1,none,-0.1060791015625,-0.1119384765625,-0.1090087890625,-0.0198974609375,4.56e-07,0.44626122190241224,0.5013427734375,0.2034951171875,0.0,0.5,0.16,0.0439638671875,0.0,0.0,0.0,1
540,54.001474609999605,7118.92332908,53998345,0,1,none,-0.10498046875,-0.1116943359375,-0.10833740234375,-0.0196533203125,4.56e-07,0.4454495614035087,0.5,0.203125,0.0,0.5,0.16,0.042927734375,0.0,0.0,0.0,1
541,54.10146271600024,7119.023332416,54098349,0,1,none,-0.1092529296875,-0.112060546875,-0.11065673828125,-0.0208740234375,4.64e-07,0.4402381633890086,0.508056640625,0.2042705078125,0.0,0.5,0.16,0.0429560546875,0.0,0.0,0.0,1
542,54.201468057000056,7119.123332752,54198350,0,1,none,-0.1068115234375,-0.1102294921875,-0.1085205078125,-0.0186767578125,4.64e-07,0.43876279633620685,0.5037841796875,0.2035859375,0.0,0.5,0.16,0.043638671875,0.0,0.0,0.0,1
543,54.301463066,7119.223332088,54298350,0,1,none,-0.1080322265625,-0.111083984375,-0.10955810546875,-0.0211181640625,4.64e-07,0.4385460162984913,0.506591796875,0.2034853515625,0.0,0.5,0.16,0.0436201171875,0.0,0.0,0.0,1
544,54.40147124499981,7119.323334416,54398353,0,1,none,-0.105224609375,-0.1107177734375,-0.10797119140625,-0.01904296875,4.56e-07,0.4440189830043859,0.506103515625,0.20247265625,0.0,0.5,0.16,0.04384375,0.0,0.0,0.0,1
545,54.501459393000005,7119.423333752,54498353,0,1,none,-0.103759765625,-0.1109619140625,-0.10736083984375,-0.01904296875,4.56e-07,0.4447000068530702,0.4989013671875,0.202783203125,0.0,0.5,0.16,0.043072265625,0.0,0.0,0.0,1
546,54.6014608280002,7119.523334088,54598354,0,1,none,-0.1092529296875,-0.111328125,-0.11029052734375,-0.020751953125,4.64e-07,0.44005295325969823,0.5140380859375,0.2041845703125,0.0,0.5,0.16,0.044359375,0.0,0.0,0.0,1
547,54.70146214600027,7119.623339424,54698360,0,1,none,-0.109619140625,-0.1109619140625,-0.11029052734375,-0.0220947265625,4.64e-07,0.4405391298491379,0.5,0.20441015625,0.0,0.5,0.16,0.044046875,0.0,0.0,0.0,1
548,54.80147024100006,7119.723339752,54798361,0,1,none,-0.107421875,-0.1126708984375,-0.11004638671875,-0.020263671875,4.56e-07,0.4457729406524123,0.5068359375,0.2032724609375,0.0,0.5,0.16,0.0439931640625,0.0,0.0,0.0,1
549,54.90146150599958,7119.823338088,54898360,0,1,none,-0.1051025390625,-0.11083984375,-0.10797119140625,-0.0198974609375,4.56e-07,0.44496556332236836,0.5035400390625,0.202904296875,0.0,0.5,0.16,0.0438369140625,0.0,0.0,0.0,1
550,55.00146777699956,7119.923337424,54998360,0,1,none,-0.1092529296875,-0.1114501953125,-0.1103515625,-0.0201416015625,4.64e-07,0.4416756465517241,0.5098876953125,0.2049375,0.0,0.5,0.16,0.04287890625,0.0,0.0,0.0,1
551,55.10146660499959,7120.02334176,55098365,0,1,none,-0.1083984375,-0.109619140625,-0.1090087890625,-0.020263671875,4.64e-07,0.4408948174838362,0.50537109375,0.2045751953125,0.0,0.5,0.16,0.0446142578125,0.0,0.0,0.0,1
552,55.201461575000394,7120.123341096,55198365,0,1,none,-0.1085205078125,-0.1109619140625,-0.1097412109375,-0.02099609375,4.64e-07,0.44024658203124994,0.5025634765625,0.2042744140625,0.0,0.5,0.16,0.0446484375,0.0,0.0,0.0,1
553,55.30146292599966,7120.223344432,55298369,0,1,none,-0.1064453125,-0.109619140625,-0.1080322265625,-0.0196533203125,4.64e-07,0.4390027276400862,0.5029296875,0.203697265625,0.0,0.5,0.16,0.0435908203125,0.0,0.0,0.0,1
554,55.40146582200032,7120.32334476,55398370,0,1,none,-0.105712890625,-0.1119384765625,-0.10882568359375,-0.020751953125,4.56e-07,0.4452932257401315,0.501220703125,0.2030537109375,0.0,0.5,0.16,0.0430927734375,0.0,0.0,0.0,1
555,55.50146861600024,7120.423345096,55498371,0,1,none,-0.1015625,-0.1103515625,-0.10595703125,-0.01708984375,4.56e-07,0.4438005413925439,0.4990234375,0.20237304687500002,0.0,0.5,0.16,0.0428798828125,0.0,0.0,0.0,1
556,55.601460601000326,7120.523351432,55598378,0,1,none,-0.1103515625,-0.1097412109375,-0.11004638671875,-0.02197265625,4.64e-07,0.4400782091864224,0.510986328125,0.2041962890625,0.0,0.5,0.16,0.0443525390625,0.0,0.0,0.0,1
557,55.70146764299989,7120.623345768,55698373,0,1,none,-0.108642578125,-0.1109619140625,-0.10980224609375,-0.020751953125,4.64e-07,0.4398635338092672,0.5040283203125,0.2040966796875,0.0,0.5,0.16,0.0439619140625,0.0,0.0,0.0,1
558,55.80145855400042,7120.723350096,55798378,0,1,none,-0.1065673828125,-0.111572265625,-0.10906982421875,-0.0203857421875,4.56e-07,0.4435863829495613,0.5030517578125,0.202275390625,0.0,0.5,0.16,0.0432626953125,0.0,0.0,0.0,1
559,55.90146708999964,7120.823349432,55898378,0,1,none,-0.10400390625,-0.1114501953125,-0.10772705078125,-0.01904296875,4.56e-07,0.44427168996710525,0.502685546875,0.20258789062500002,0.0,0.5,0.16,0.042849609375,0.0,0.0,0.0,1
560,56.001496595999924,7120.923358768,55998388,0,1,none,-0.108642578125,-0.1114501953125,-0.11004638671875,-0.0203857421875,4.64e-07,0.4402381633890086,0.5059814453125,0.2042705078125,0.0,0.5,0.16,0.042636718750000004,0.0,0.0,0.0,1
