sample_index,host_elapsed_s,pulse_fpga_time_s,group_id,pulse_id,valid,invalid_reason,baseline_pre_v,baseline_post_v,baseline_for_area_v,threshold_v,pulse_duration_s,pulse_height_v,peak_height_v,pulse_area_v_us,correction_active_v,effective_high_v,live_target_area_v_us,live_area_error_v_us,live_p_term_v_us,live_i_term_v_us,live_d_term_v_us,live_pid_latency_cycles
3084,30.841437912999936,5564.591383512,30838263,0,1,none,-0.1021728515625,-0.1103515625,-0.10626220703125,-0.0078125,4.56e-07,0.43535841557017546,0.4947509765625,0.1985234375,0.031005859375,0.531005859375,0.2,-0.0004560546875,0.0,-0.0088212890625,0.0,16
3085,30.851438644000154,5564.601384448,30848264,0,1,none,-0.1038818359375,-0.110595703125,-0.10723876953125,-0.0096435546875,4.56e-07,0.4344610916940789,0.4891357421875,0.1981142578125,0.031005859375,0.531005859375,0.2,-0.00037890625,0.0,-0.0088203125,0.0,3
3086,30.861441912999908,5564.611385384,30858265,0,1,none,-0.104248046875,-0.111328125,-0.1077880859375,-0.0098876953125,4.56e-07,0.43749143366228066,0.4959716796875,0.19949609375,0.031005859375,0.531005859375,0.2,-0.0012099609375,0.0,-0.00882421875,0.0,3
3087,30.87144153099962,5564.62138532,30868265,0,1,none,-0.105224609375,-0.110595703125,-0.10791015625,-0.00927734375,4.56e-07,0.43701600191885964,0.4908447265625,0.199279296875,0.0311279296875,0.5311279296875,0.2,-0.00041015625,0.0,-0.00882421875,0.0,3
3088,30.88143600500007,5564.631381256,30878261,0,1,none,-0.1068115234375,-0.1109619140625,-0.10888671875,-0.0108642578125,4.56e-07,0.4380975020559211,0.4940185546875,0.1997724609375,0.0311279296875,0.5311279296875,0.2,0.0012236328125000001,3.22265625e-05,-0.008822265625,0.0,16
3089,30.891443872999844,5564.641386192,30888266,0,1,none,-0.1064453125,-0.1114501953125,-0.10894775390625,-0.010009765625,4.56e-07,0.4385215357730263,0.49365234375,0.19996582031250001,0.0311279296875,0.5311279296875,0.2,0.0005244140625,0.0,-0.0088251953125,0.0,3
3090,30.901443869000104,5564.651385128,30898265,0,1,none,-0.1064453125,-0.11083984375,-0.108642578125,-0.0091552734375,4.56e-07,0.43784265350877194,0.49951171875,0.19965625,0.0311279296875,0.5311279296875,0.2,0.0003798828125,0.0,-0.0088251953125,0.0,3
3091,30.91144013899975,5564.661384064,30908264,0,1,none,-0.1077880859375,-0.1109619140625,-0.109375,-0.0103759765625,4.56e-07,0.43890702097039475,0.4931640625,0.2001416015625,0.0311279296875,0.5311279296875,0.2,0.001927734375,6.15234375e-05,-0.0088271484375,0.0,16
3092,30.921445648999907,5564.671388008,30918268,0,1,none,-0.108642578125,-0.1102294921875,-0.10943603515625,-0.0108642578125,4.64e-07,0.4309987035290948,0.496826171875,0.19998339843750002,0.0311279296875,0.5311279296875,0.2,-0.0006513671875,-3.7109375e-05,-0.008826171875,0.0,16
3093,30.93144935700002,5564.681385944,30928266,0,1,none,-0.109375,-0.10986328125,-0.109619140625,-0.0115966796875,4.64e-07,0.43374949488146547,0.4981689453125,0.201259765625,0.0311279296875,0.5311279296875,0.2,-0.0005888671875,-5.37109375e-05,-0.0088203125,0.0,16
